doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,clientName,clientType
10.5061/dryad.q6n3mn0d,dryad.dryad,2011,Dataset,Data from: Testing the role of phenotypic plasticity for local adaptation: growth and development in time-constrained Rana temporaria populations,Dryad,0,1,0,1,0,2011-09-20T17:39:09Z,2025-07-22T03:31:51Z,1,1,OPEN,6,20,DRYAD,repository
10.5061/dryad.bt7vr,dryad.dryad,2011,Dataset,Data from: Colonization of the Tibetan Plateau by the homoploid hybrid pine Pinus densata,Dryad,0,1,0,1,0,2011-11-22T21:50:51Z,2025-07-21T19:05:49Z,1,1,OPEN,3,4,DRYAD,repository
10.5061/dryad.68sd84vh,dryad.dryad,2012,Dataset,Data from: Population responses to perturbations: the importance of trait-based analysis illustrated through a microcosm experiment,Dryad,0,1,0,1,0,2012-01-09T18:00:54Z,2025-07-21T18:31:47Z,1,1,OPEN,0,3,DRYAD,repository
10.5061/dryad.566n8,dryad.dryad,2012,Dataset,Data from: Demography and speciation history of the homoploid hybrid pine Pinus densata on the Tibetan Plateau,Dryad,0,1,0,1,0,2012-06-21T18:17:54Z,2025-07-21T18:09:49Z,1,1,OPEN,4,2,DRYAD,repository
10.5061/dryad.40kq7,dryad.dryad,2015,Dataset,"Data from: Use of alpha, beta, and gamma diversity measures to characterize seed dispersal by animals",Dryad,0,1,0,1,0,2012-07-24T19:08:39Z,2025-07-22T09:53:03Z,1,1,OPEN,2,3,DRYAD,repository
10.5061/dryad.sn577,dryad.dryad,2013,Dataset,"Data from: A second-generation diagnostic single nucleotide polymorphism (SNP)-based assay, optimized to distinguish among eight poplar (Populus L.) species and their early hybrids",Dryad,0,1,0,1,0,2012-09-26T14:50:10Z,2025-07-21T21:59:38Z,1,1,OPEN,4,2,DRYAD,repository
10.5061/dryad.b0c8470m,dryad.dryad,2012,Dataset,Data from: Estimating speciation and extinction rates for phylogenies of higher taxa,Dryad,0,1,0,1,0,2012-10-16T18:11:58Z,2025-07-22T09:29:28Z,1,1,OPEN,3,1,DRYAD,repository
10.5061/dryad.d2990,dryad.dryad,2013,Dataset,"Data from: What can multiple phylogenies say about the latitudinal diversity gradient? A new look at the tropical conservatism, out-of-the-tropics, and diversification rate hypotheses",Dryad,0,1,0,1,0,2013-02-04T19:44:44Z,2025-07-21T16:36:07Z,1,1,OPEN,1,2,DRYAD,repository
10.5061/dryad.5c20k,dryad.dryad,2013,Dataset,Data from: Herbivory prevents positive responses of lowland plants to warmer and more fertile conditions at high altitudes,Dryad,0,1,0,1,0,2013-03-06T19:09:21Z,2025-07-22T01:44:40Z,1,1,OPEN,0,2,DRYAD,repository
10.5061/dryad.s631d,dryad.dryad,2013,Dataset,Data from: Bayesian tests of topology hypotheses with an example from diving beetles,Dryad,0,1,0,1,0,2013-04-25T16:21:31Z,2025-07-21T18:40:10Z,1,1,OPEN,2,8,DRYAD,repository
10.5061/dryad.38s21,dryad.dryad,2013,Dataset,Data from: Complex biotic interactions drive long-term vegetation dynamics in a subarctic ecosystem,Dryad,0,1,0,1,0,2013-05-31T15:02:05Z,2025-07-21T21:00:36Z,1,1,OPEN,2,2,DRYAD,repository
10.5061/dryad.1q389,dryad.dryad,2014,Dataset,Data from: Latitudinal patterns of phenology and age-specific thermal performance across six Coenagrion damselfly species,Dryad,0,1,0,1,0,2013-10-15T18:01:29Z,2025-07-21T16:44:57Z,1,1,OPEN,6,20,DRYAD,repository
10.5061/dryad.94tr3,dryad.dryad,2013,Dataset,Data from: 50 years of inordinate fondness,Dryad,0,1,0,1,0,2013-10-22T14:46:46Z,2025-07-21T15:42:37Z,1,1,OPEN,0,5,DRYAD,repository
10.5061/dryad.qb4gs,dryad.dryad,2013,Dataset,Data from: Identification of Swedish mosquitoes based on molecular barcoding of the COI gene and SNP analysis,Dryad,0,1,0,1,0,2013-11-12T14:17:08Z,2025-07-21T13:46:16Z,1,1,OPEN,2,12,DRYAD,repository
10.5878/000119,snd.snd,1986,Dataset,Swedish electoral data 1911-1944,Umeå University,1,1,0,0,1,2013-12-17T19:29:16Z,2025-09-22T10:36:27Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000129,snd.snd,1987,Dataset,Democracy and bureaucracy in foreign affairs and domestic policy: Citizens' survey - Democracy and bureaucracy in foreign affairs and domestic policy: Citizens´ survey,Umeå University,1,0,0,0,1,2013-12-17T19:29:25Z,2025-09-22T10:36:50Z,1,,,,,Swedish National Data Service,repository
10.5878/000137,snd.snd,1988,Dataset,Economic development,Umeå University,1,1,0,0,1,2013-12-17T19:29:33Z,2025-09-22T10:37:01Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000149,snd.snd,1991,Dataset,Western European ecological data - Austria,Umeå University,1,1,0,0,1,2013-12-17T19:29:44Z,2025-09-22T10:37:25Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000174,snd.snd,2009,Dataset,Attitudes to inequality 1991 - A Swedish survey,Umeå University,1,1,0,0,1,2013-12-17T19:30:10Z,2025-09-22T10:33:46Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000181,snd.snd,1992,Dataset,Welfare state survey 1986,Umeå University,1,1,0,0,1,2013-12-17T19:30:16Z,2025-09-22T10:11:35Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000232,snd.snd,1993,Dataset,Swedish manpower training 1981,Umeå University,1,1,0,0,1,2013-12-17T19:31:05Z,2025-09-22T10:01:49Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000256,snd.snd,2011,Dataset,ISSP 1994 - Family and changing gender roles II: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:31:29Z,2025-09-22T10:37:41Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000262,snd.snd,1995,Dataset,Welfare state survey 1992,Umeå University,1,1,0,0,1,2013-12-17T19:31:35Z,2025-09-22T10:37:21Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000264,snd.snd,1995,Dataset,Standard of living in Sweden 1992,Umeå University,1,1,0,0,1,2013-12-17T19:31:37Z,2025-09-22T10:37:47Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000270,snd.snd,2009,Dataset,ISSP 1995 - National identity I: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:31:43Z,2025-09-22T10:37:59Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000310,snd.snd,2009,Dataset,ISSP 1996 - Role of government III: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:32:23Z,2025-09-22T10:39:00Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000321,snd.snd,1998,Dataset,"Opinions about the 1991 tax reform, March 1991",Umeå University,1,1,0,0,1,2013-12-17T19:32:34Z,2025-09-22T10:38:57Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000353,snd.snd,2009,Dataset,ISSP 1998 - Religion II: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:33:06Z,2025-09-22T10:39:20Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000354,snd.snd,2009,Dataset,ISSP 1997 - Work orientations II: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:33:08Z,2025-09-22T10:39:11Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000358,snd.snd,2009,Dataset,ISSP 1999 - Social inequality III: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:33:13Z,2025-09-22T10:39:38Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000371,snd.snd,2009,Dataset,ISSP 2000 - Environment II: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:33:26Z,2025-09-22T10:39:47Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000379,snd.snd,2008,Dataset,Welfare state survey 2002,Umeå University,1,1,0,0,1,2013-12-17T19:33:34Z,2025-09-22T10:39:48Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000388,snd.snd,2003,Dataset,Welfare state survey 1997,Umeå University,1,1,0,0,1,2013-12-17T19:33:43Z,2025-09-22T09:57:41Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000389,snd.snd,2009,Dataset,ISSP 2002 - Family and changing gender roles III: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:33:44Z,2025-09-22T10:39:17Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000400,snd.snd,2009,Dataset,ISSP 2003 - National identity II: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:33:56Z,2025-09-22T10:40:23Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000410,snd.snd,2009,Dataset,ISSP 2004 - Citizenship I: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:34:07Z,2025-09-22T10:40:19Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000411,snd.snd,2009,Dataset,ISSP 2005 - Work orientations III: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:34:08Z,2025-09-22T10:40:01Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000443,snd.snd,2009,Dataset,ISSP 2006 - Role of government IV: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:34:39Z,2025-09-22T10:40:45Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000456,snd.snd,2009,Dataset,ISSP 2007 - Leisure time and Sports I: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:34:54Z,2025-09-22T10:40:52Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000461,snd.snd,2009,Dataset,ISSP 2008 - Religion III: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:34:59Z,2025-09-22T10:40:41Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000469,snd.snd,2010,Dataset,ISSP 2009 - Social inequality IV: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:35:07Z,2025-09-22T10:41:05Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000475,snd.snd,2011,Dataset,Study of regionalization of the northern parts of Sweden 2008,Umeå University,1,1,0,0,1,2013-12-17T19:35:13Z,2025-09-22T10:30:10Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000478,snd.snd,2015,Dataset,ISSP 2010 - Environment III: Sweden,Umeå University,1,1,0,0,1,2013-12-17T19:35:16Z,2025-09-22T10:41:27Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000480,snd.snd,2011,Dataset,"ESS 1 – European Social Survey 2002, Sweden",Umeå University,1,1,0,0,1,2013-12-17T19:35:18Z,2025-09-22T10:21:04Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000481,snd.snd,2011,Dataset,"ESS 2 – European Social Survey 2004, Sweden",Umeå University,1,1,0,0,1,2013-12-17T19:35:19Z,2025-09-22T10:41:40Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000482,snd.snd,2011,Dataset,"ESS 3 – European Social Survey 2006, Sweden",Umeå University,1,1,0,0,1,2013-12-17T19:35:20Z,2025-09-22T10:41:30Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000483,snd.snd,2011,Dataset,"ESS 4 – European Social Survey 2008, Sweden",Umeå University,1,1,0,0,1,2013-12-17T19:35:21Z,2025-09-22T10:41:11Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000491,snd.snd,2012,Dataset,Welfare state survey 2010,Umeå University,1,1,0,0,1,2013-12-17T19:35:29Z,2025-09-22T10:41:08Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000501,snd.snd,2015,Dataset,ISSP 2011 - Health,Umeå University,1,1,0,0,1,2013-12-17T19:35:38Z,2025-09-22T10:41:22Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000505,snd.snd,2015,Dataset,"ISSP 2012 - Family, Work and Gender Roles IV",Umeå University,1,1,0,0,1,2013-12-17T19:35:42Z,2025-09-22T10:41:25Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/000873,snd.snd,1986,Dataset,Swedish electoral data 1911-1944,Umeå University,1,1,0,1,0,2013-12-17T19:43:57Z,2025-09-22T08:47:11Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000889,snd.snd,1998,Dataset,"Opinions about the 1991 tax reform, March 1991",Umeå University,1,1,0,1,0,2013-12-17T19:44:13Z,2025-09-22T08:48:03Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000890,snd.snd,1998,Dataset,"Opinions about the 1991 tax reform, September 1991",Umeå University,1,1,0,1,0,2013-12-17T19:44:14Z,2025-09-22T09:15:25Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000891,snd.snd,1998,Dataset,"Opinions about the 1991 tax reform, September 1992",Umeå University,1,1,0,1,0,2013-12-17T19:44:15Z,2025-09-22T09:14:25Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000892,snd.snd,1998,Dataset,"Opinions about the 1991 tax reform, panel March and September 1991",Umeå University,1,1,0,1,0,2013-12-17T19:44:16Z,2025-09-22T09:14:40Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000893,snd.snd,1998,Dataset,"Opinions about the 1991 tax reform, panel September 1991 and September 1992",Umeå University,1,1,0,1,0,2013-12-17T19:44:17Z,2025-09-22T08:47:47Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
